Character Count,Character Count (No Spaces),Unique Characters,Word Count,Sentence Count,Characters / Word,Words / Sentence,Characters / Sentence,Language
15692,13019,44,2477,1,5.255954784012919,2477.0,13019.0,HumanRights(Portuguese)_viVietnamese (Northern)
15718,12721,32,2734,1,4.652889539136796,2734.0,12721.0,HumanRights(Quechua)_miMāori
15743,14237,45,1143,12,12.455818022747156,95.25,1186.4166666666667,HumanRights(Arabic)_mlMalayalam
15750,13837,43,1682,34,8.226516052318669,49.470588235294116,406.97058823529414,HumanRights(Japanese)_guGujarati
15760,13822,34,1672,1,8.266746411483254,1672.0,13822.0,HumanRights(Russian)_beBelarusian
15783,14160,35,1392,1,10.172413793103448,1392.0,14160.0,HumanRights(Japanese)_taTamil
15795,13971,37,1593,1,8.770244821092279,1593.0,13971.0,HumanRights(Japanese)_hyArmenian (East Armenia)
15807,14028,50,1538,1,9.120936280884266,1538.0,14028.0,HumanRights(Spanish)_neNepali
15810,14043,32,1590,1,8.832075471698113,1590.0,14043.0,HumanRights(Chinese)_euBasque
15812,14022,50,1524,1,9.200787401574804,1524.0,14022.0,HumanRights(Russian)_neNepali
15818,13109,44,2498,1,5.247798238590873,2498.0,13109.0,HumanRights(English)_viVietnamese (Northern)
15837,14145,40,1429,1,9.89853044086774,1429.0,14145.0,HumanRights(Quechua)_taTamil
15885,14421,47,1201,35,12.007493755203997,34.31428571428572,412.0285714285714,HumanRights(Quechua)_mlMalayalam
15889,14464,42,1159,18,12.479723899913719,64.38888888888889,803.5555555555555,HumanRights(Russian)_mlMalayalam
15895,14525,45,1129,17,12.865367581930911,66.41176470588235,854.4117647058823,HumanRights(Spanish)_mlMalayalam
15895,14217,40,1315,1,10.811406844106465,1315.0,14217.0,HumanRights(Arabic)_knKannada
15933,14224,33,1513,1,9.40118968935889,1513.0,14224.0,HumanRights(Portuguese)_mtMaltese
15959,13460,44,2236,15,6.019677996422183,149.06666666666666,897.3333333333334,HumanRights(Quechua)_hiHindi
15970,13793,34,2000,1,6.8965,2000.0,13793.0,HumanRights(Chinese)_roRomanian
16038,14244,49,1563,1,9.113243761996161,1563.0,14244.0,HumanRights(Japanese)_neNepali
16048,14128,48,1657,1,8.526252263126132,1657.0,14128.0,HumanRights(Quechua)_neNepali
16065,14102,43,1722,1,8.189314750290361,1722.0,14102.0,HumanRights(Spanish)_siSinhala
16066,13513,50,2376,6,5.687289562289562,396.0,2252.1666666666665,HumanRights(Chinese)_urUrdu
16120,14561,37,1328,1,10.96460843373494,1328.0,14561.0,HumanRights(Japanese)_knKannada
16128,14208,44,1657,1,8.574532287266143,1657.0,14208.0,HumanRights(Quechua)_mrMarathi
16163,14240,36,1560,1,9.128205128205128,1560.0,14240.0,HumanRights(Arabic)_mtMaltese
16167,14101,43,1703,1,8.280093951849677,1703.0,14101.0,HumanRights(Arabic)_siSinhala
16202,13249,28,2776,1,4.7726945244956775,2776.0,13249.0,HumanRights(Chinese)_hawHawaiian
16210,13338,28,2695,1,4.949165120593692,2695.0,13338.0,HumanRights(Chinese)_miMāori
16242,14237,43,1739,1,8.18688901667625,1739.0,14237.0,HumanRights(Russian)_siSinhala
16249,14470,36,1602,1,9.032459425717853,1602.0,14470.0,HumanRights(Chinese)_ltLithuanian
16282,14422,41,1683,1,8.569221628045158,1683.0,14422.0,HumanRights(Chinese)_gnGuarani
16319,14417,43,1725,1,8.35768115942029,1725.0,14417.0,HumanRights(Chinese)_ruRussian
16348,13417,45,2568,1,5.224688473520249,2568.0,13417.0,HumanRights(Arabic)_viVietnamese (Northern)
16373,14241,47,1869,24,7.619582664526485,77.875,593.375,HumanRights(Quechua)_guGujarati
16399,14157,41,2065,1,6.855690072639225,2065.0,14157.0,HumanRights(Chinese)_ptPortuguese (Portugal)
16408,14566,33,1576,1,9.24238578680203,1576.0,14566.0,HumanRights(Russian)_mtMaltese
16417,15023,42,1163,28,12.917454858125538,41.535714285714285,536.5357142857143,HumanRights(Japanese)_mlMalayalam
16423,14384,40,1808,1,7.95575221238938,1808.0,14384.0,HumanRights(Japanese)_siSinhala
16447,13597,44,2584,1,5.261996904024768,2584.0,13597.0,HumanRights(Russian)_viVietnamese (Northern)
16449,13621,43,2597,1,5.244897959183674,2597.0,13621.0,HumanRights(Japanese)_viVietnamese (Northern)
16484,14678,33,1565,1,9.37891373801917,1565.0,14678.0,HumanRights(Spanish)_mtMaltese
16506,14553,46,1590,1,9.152830188679244,1590.0,14553.0,HumanRights(Arabic)_neNepali
16556,14749,38,1630,1,9.048466257668712,1630.0,14749.0,HumanRights(Chinese)_kyKyrgyz
16562,14658,40,1727,1,8.487550665894615,1727.0,14658.0,HumanRights(Chinese)_beBelarusian
16586,13746,43,2599,1,5.288957291265872,2599.0,13746.0,HumanRights(Spanish)_viVietnamese (Northern)
