language,char_count,word_count,avg_characters_per_word,unique_characters,file_size,compressed_size,compression_ratio
irish,81691,13470,6.065,88,86487,30449,0.3520644721171968
vietnamese,81718,17822,4.585,194,108756,31219,0.2870554268270256
tamil,81755,8437,9.69,105,220736,37783,0.17116827341258337
luxembourgish,81895,12171,6.729,88,84243,30278,0.3594126514962668
oromo,82303,10737,7.665,78,83667,27102,0.3239269963067876
mizo,82316,14874,5.534,85,82603,27715,0.33552050167669456
greek,82828,12659,6.543,139,147879,39022,0.2638779001751432
sesotho,83038,15306,5.425,84,83432,27660,0.33152747147377504
somali,83156,12919,6.437,78,83191,29501,0.3546176870094121
yiddish,83162,13542,6.141,104,148852,36060,0.2422540510036815
myanmar,83370,5698,14.631,146,230315,42040,0.1825326183704926
luganda,83540,10551,7.918,79,86163,28861,0.3349581606954261
malay,84285,11121,7.579,77,84314,27356,0.32445382735963185
lingala,85377,13971,6.111,97,86228,28270,0.32785174189358446
french,85645,13161,6.507,98,88507,31290,0.35353135910154
malagasy,86658,12154,7.13,84,86994,26660,0.30645791663792904
indonesian,86905,11319,7.678,76,86954,28136,0.3235733836281252
quechua,87448,9232,9.472,92,88405,29075,0.32888411288954245
dutch,87615,13456,6.511,86,87813,31135,0.3545602587316229
scots gaelic,88224,14438,6.111,90,90288,30098,0.3333554846712741
aymara,88785,10071,8.816,102,92985,29370,0.3158573963542507
german,88841,12411,7.158,84,90269,32415,0.3590933764636808
cebuano,88994,14274,6.235,77,89039,28375,0.31868057817360934
sepedi,90420,17157,5.27,79,93030,29307,0.3150274105127378
filipino,90636,14130,6.414,76,90667,29360,0.32382233888845996
ilocano,92737,13905,6.669,76,92776,29322,0.3160515650599293
hmong,94098,18481,5.092,80,94127,26865,0.2854122621564482
tsonga,94317,15901,5.932,78,94928,29445,0.3101824540704534
dhivehi,96354,9570,10.068,110,179825,36311,0.20192409286806617
english (source),77902,12737,6.116,76,77939,28253,0.3625014434365337
